Link,Name
http://www.wikidata.org/entity/Q15730355,विम्ला वर्मा
http://www.wikidata.org/entity/Q7295864,रत्नाप्पा कुंभार
http://www.wikidata.org/entity/Q31323301,मिथिलेश कुमार कठेरिया
http://www.wikidata.org/entity/Q6579447,नितीश भारद्वाज
http://www.wikidata.org/entity/Q16929721,पी॰पी॰ मोहम्मद फैज़ल
http://www.wikidata.org/entity/Q31336295,खेमचन्द्र
http://www.wikidata.org/entity/Q31335645,विजयपाल सिंह
http://www.wikidata.org/entity/Q2721714,अम्बरीष
http://www.wikidata.org/entity/Q31314060,कमाल यूसुफ मलिक
http://www.wikidata.org/entity/Q23806453,शान्ति घोष
http://www.wikidata.org/entity/Q31323139,धर्मी रावत
http://www.wikidata.org/entity/Q31335470,राम चन्द्र सिंह
http://www.wikidata.org/entity/Q31314219,मुनीन्द्र शुक्ला
http://www.wikidata.org/entity/Q6394963,केसरी नाथ त्रिपाठी
http://www.wikidata.org/entity/Q31334328,छेदा लाल चौधरी
http://www.wikidata.org/entity/Q5168128,कुंवरजी होरमुसजी भाभा
http://www.wikidata.org/entity/Q4751434,अनंत सदाशिव पटवर्धन
http://www.wikidata.org/entity/Q31314185,बंशी सिंह पहाडि़या
http://www.wikidata.org/entity/Q19520579,जॉर्ज थॉमस कोत्तुकपल्ली
http://www.wikidata.org/entity/Q31332201,अमोला देवी
http://www.wikidata.org/entity/Q7424779,सर्वे सत्यनारायण
http://www.wikidata.org/entity/Q5278070,दिनेश चन्द्र यादव
http://www.wikidata.org/entity/Q16980158,के॰आर॰पी॰ प्रभाकरन
http://www.wikidata.org/entity/Q7286068,राजेश कुमार मांझी
http://www.wikidata.org/entity/Q31313957,आनन्द सिंह कुंवर
http://www.wikidata.org/entity/Q47244545,परेश धानाणी
http://www.wikidata.org/entity/Q4787985,अर्देशिर रुत्तनजी वाडिया
http://www.wikidata.org/entity/Q31333066,बंशीधर शुक्ल
http://www.wikidata.org/entity/Q31313730,जयदेव गाल्ला
http://www.wikidata.org/entity/Q31314003,इन्दल कुमार
http://www.wikidata.org/entity/Q7237724,प्रहलाद सिंह पटेल
http://www.wikidata.org/entity/Q7136959,परगट सिंह
http://www.wikidata.org/entity/Q31335551,राम सुन्दर शास्त्री
http://www.wikidata.org/entity/Q31323237,भगवती प्रसाद सागर
http://www.wikidata.org/entity/Q31335833,शिव सम्पत्ति शर्मा
http://www.wikidata.org/entity/Q7399611,साहिब सिंह वर्मा
http://www.wikidata.org/entity/Q6373506,करतार सिंह दुग्गल
http://www.wikidata.org/entity/Q470875,करुणानिधि
http://www.wikidata.org/entity/Q31334245,गंगा सिंह विष्ट
http://www.wikidata.org/entity/Q31322869,अशोक कुमार सिंह चन्देल
http://www.wikidata.org/entity/Q7918212,वीरेन्द्र पाटिल
http://www.wikidata.org/entity/Q64143401,श्याम सिंह यादव
http://www.wikidata.org/entity/Q31330199,जगन्नाथ बख्श दास
http://www.wikidata.org/entity/Q158136,किरण खेर
http://www.wikidata.org/entity/Q15730338,मालती देवी
http://www.wikidata.org/entity/Q31333299,यमुना प्रसाद शुक्ल
http://www.wikidata.org/entity/Q7937283,विट्ठलभाई रादरिया
http://www.wikidata.org/entity/Q3281658,मैल्कम सत्यनाथन आदिशेशैया
